rpm,temperature,load_factor,voltage,current,power_watts,efficiency,motor_temp,anomaly
649.4,29.3,1.23,226.8,1.401,301.9,84.3,47.0,0
1340.9,28.3,0.685,240.7,2.784,636.54,80.7,58.3,0
1078.4,24.4,0.847,238.3,2.221,502.93,83.2,49.1,0
918.4,35.2,1.163,233.7,1.87,415.0,84.0,56.8,0
387.2,31.9,0.982,228.3,0.889,192.88,82.3,44.7,0
387.2,41.6,1.239,236.0,0.941,210.88,83.8,56.2,0
269.7,20.8,1.461,224.3,0.649,138.34,84.3,33.6,0
1239.4,36.1,0.617,235.4,2.57,574.73,82.6,64.4,0
921.3,39.1,1.21,234.6,1.88,419.18,84.5,63.2,0
1049.7,39.0,0.73,229.2,2.21,481.34,83.8,62.6,0
224.7,42.2,0.914,235.7,0.605,135.37,82.5,50.9,0
1363.9,38.2,0.533,227.8,2.813,608.64,82.2,69.5,0
1198.9,43.2,0.636,223.7,2.383,506.37,83.4,70.7,0
454.8,28.3,0.82,234.9,1.061,236.69,82.6,40.0,0
418.2,32.6,0.842,229.6,0.864,188.39,82.6,45.3,0
420.1,20.4,1.4,233.0,0.95,210.27,83.7,37.0,0
565.1,20.2,1.242,239.1,1.26,286.23,84.7,38.4,0
829.7,26.0,1.472,226.4,1.813,389.92,85.0,51.2,0
718.3,22.5,1.099,229.3,1.424,310.2,85.6,40.9,0
549.5,26.5,0.742,237.8,1.168,264.01,83.1,41.3,0
934.2,24.4,0.828,233.3,1.937,429.34,85.1,46.9,0
367.4,20.7,0.82,226.5,0.868,186.87,83.4,32.8,0
550.6,42.7,0.826,225.2,1.208,258.5,83.4,57.0,0
639.6,20.2,1.173,227.4,1.431,308.98,84.1,38.0,0
747.3,38.4,1.031,226.3,1.612,346.46,85.7,58.5,0
1142.2,23.8,0.885,231.2,2.349,515.86,82.7,50.2,0
439.6,42.8,0.649,230.4,0.964,211.03,86.2,55.1,0
817.1,42.3,0.522,231.4,1.779,391.02,85.6,59.2,0
910.9,36.3,0.719,225.8,1.829,392.38,84.8,59.3,0
255.7,36.8,0.607,229.6,0.624,136.12,81.8,42.2,0
929.1,20.1,1.285,219.7,1.911,398.92,85.6,46.0,0
404.6,44.6,0.612,230.7,0.842,184.64,83.0,55.2,0
278.1,41.9,1.224,235.9,0.71,159.2,81.9,52.2,0
1338.7,42.4,0.886,222.9,2.72,575.88,83.6,73.7,0
1358.8,36.5,0.573,232.4,2.802,618.57,81.4,67.4,0
1170.1,28.6,1.313,226.9,2.41,519.58,83.8,59.7,0
565.5,42.3,1.08,234.0,1.11,246.67,83.7,60.2,0
317.2,27.3,0.736,230.8,0.722,158.38,82.9,36.5,0
1021.1,34.1,1.395,232.0,2.152,951.65,85.1,61.7,1
728.2,22.5,0.545,230.3,1.411,308.65,86.6,38.0,0
346.4,43.0,0.702,236.6,0.736,165.48,82.0,53.6,0
794.2,23.5,1.252,231.7,1.584,348.76,83.6,46.0,0
241.3,25.6,1.209,226.5,0.605,130.21,81.6,36.1,0
1291.2,34.0,0.789,230.5,2.725,596.73,82.0,61.9,0
510.5,39.1,0.562,228.2,1.131,245.09,84.1,51.5,0
995.0,35.5,1.358,230.8,2.143,469.88,85.1,64.1,0
574.1,25.8,0.814,227.9,1.189,429.27,86.8,41.7,1
824.1,20.0,0.696,226.6,1.73,372.51,84.5,39.5,0
856.1,38.9,1.016,231.0,1.801,395.31,82.8,61.0,0
421.8,44.6,1.41,230.3,0.968,211.78,83.3,60.5,0
1363.5,40.2,0.544,235.3,2.842,635.41,82.2,68.7,0
1130.2,31.5,1.266,227.9,2.414,522.68,82.9,58.9,0
1327.4,42.6,1.072,220.1,2.732,571.14,82.5,73.8,0
1273.8,30.2,0.925,228.2,2.554,553.57,82.9,59.8,0
917.5,33.1,1.244,221.9,1.921,404.88,85.1,59.5,0
1306.2,31.9,1.466,232.1,2.707,596.77,83.2,65.5,0
306.2,31.2,0.729,221.6,0.694,146.18,82.5,40.4,0
435.2,39.4,0.644,225.1,0.984,210.29,84.2,51.4,0
254.3,33.2,1.413,228.2,0.517,111.99,80.2,43.3,0
590.4,27.9,1.169,237.7,1.234,278.59,83.6,44.7,0
666.4,26.5,0.938,224.6,1.358,289.8,84.5,43.7,0
525.6,20.9,1.073,230.1,1.188,259.73,83.2,35.8,0
1194.5,34.6,1.246,232.9,2.475,547.7,83.5,65.9,0
628.1,25.7,1.273,237.4,1.32,297.72,84.4,45.3,0
537.1,23.7,1.42,233.9,1.196,265.71,83.9,40.3,0
851.2,36.3,0.927,235.5,1.756,392.7,85.9,56.7,0
369.1,37.0,0.793,234.3,0.814,181.24,83.2,47.1,0
1162.6,38.8,1.14,224.0,2.512,534.39,82.6,67.6,0
289.5,32.6,0.916,231.8,0.747,164.41,81.8,43.2,0
1384.3,42.4,1.095,234.2,2.845,633.15,82.3,75.9,0
1126.7,43.4,0.92,225.2,2.334,499.31,84.1,69.5,0
438.5,40.2,0.653,227.1,0.919,198.23,84.9,52.0,0
206.6,35.9,0.969,226.0,0.401,86.16,82.3,44.8,0
1178.6,27.6,1.191,233.9,2.496,1050.53,83.2,58.3,1
1048.2,44.6,1.299,229.7,2.327,507.7,85.8,72.8,0
1074.8,26.9,0.993,228.4,2.204,478.21,85.8,51.9,0
1125.5,25.1,0.665,223.6,2.269,481.86,82.2,49.0,0
288.9,31.1,0.915,229.7,0.641,139.82,82.4,41.3,0
630.2,21.4,1.286,227.2,1.35,291.4,84.2,39.8,0
339.0,44.5,0.913,231.2,0.711,156.27,82.6,54.8,0
1235.7,34.7,1.197,224.3,2.543,541.85,82.3,64.7,0
948.0,33.9,1.007,230.9,2.031,445.48,83.8,58.5,0
597.1,36.4,0.741,227.8,1.274,275.71,85.5,50.5,0
276.3,32.4,1.296,223.8,0.713,151.62,81.1,46.3,0
573.2,20.8,0.584,223.4,1.215,257.73,84.6,34.5,0
590.2,35.3,1.025,224.1,1.213,258.16,83.2,52.9,0
1075.5,37.9,0.709,229.0,2.196,477.59,85.5,62.3,0
965.1,30.4,0.567,230.6,2.001,438.44,84.8,51.0,0
1264.7,38.9,1.003,231.3,2.562,563.14,83.6,69.1,0
766.7,25.7,1.0,231.5,1.546,340.14,85.2,44.8,0
343.5,25.5,1.207,226.2,0.713,153.28,82.7,38.6,0
1055.9,24.0,1.245,235.3,2.224,497.09,84.4,51.4,0
1112.9,29.3,1.228,227.8,2.298,497.34,85.5,57.0,0
873.5,41.2,0.91,232.3,1.893,417.63,84.0,63.3,0
1125.2,40.7,1.132,229.2,2.303,501.36,81.4,69.9,0
792.6,29.6,1.077,231.9,1.546,340.48,84.2,50.7,0
827.3,34.7,0.922,228.9,1.729,649.89,83.8,55.2,1
